trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2131432,7,249232,Mount Olive,"0853",1,0853,107,
2131433,7,249232,Hoboken,"0854",0,0854,7,
2131435,7,249232,Hackettstown,"0871",1,0871,107,
2131437,7,249232,Hoboken,"0880",0,0880,7,
2131922,7,249232,Hackettstown,"0881",1,0881,107,
2131438,7,249232,Hoboken,"0882",0,0882,7,
2134585,7,249361,Summit,"0951",1,0951,107,
2134571,7,249361,Hoboken,"0952",0,0952,7,
2134587,7,249361,Summit,"0953",1,0953,107,
2134579,7,249361,Hoboken,"0956",0,0956,7,
2134590,7,249361,Summit,"0961",1,0961,107,
2134594,7,249361,Summit,"0963",1,0963,107,
2134583,7,249361,Hoboken,"0964",0,0964,7,
2134598,7,249361,Summit,"0965",1,0965,107,
2134584,7,249361,Hoboken,"0966",0,0966,7,
2131326,2,249232,Dover,"1001",1,1001,102,
2131655,2,249232,Hoboken,"1002",0,1002,2,
2131440,2,249232,Hoboken,"1006",0,1006,2,
2131582,2,249232,Dover,"1009",1,1009,102,
2131327,2,249232,Lake Hopatcong,"1011",1,1011,102,
2131441,2,249232,Mount Olive,"1061",1,1061,102,
2131915,2,249232,Hoboken,"1070",0,1070,2,
2131329,2,249232,Hoboken,"1074",0,1074,2,
2131442,2,249232,Hackettstown,"1085",1,1085,102,
2131330,2,249232,Hackettstown,"1087",1,1087,102,
2134572,2,249361,Hoboken,"1090",0,1090,2,
2134578,2,249361,Hoboken,"1092",0,1092,2,
2134596,2,249361,Lake Hopatcong,"1093",1,1093,102,
2134600,2,249361,Lake Hopatcong,"1095",1,1095,102,
2134098,6,249232,Hoboken,"1100",0,1100,25,
2131882,6,249232,Suffern,"1101",1,1101,125,
2131884,6,249232,Hoboken,"1102",0,1102,25,
2131908,6,249232,Suffern,"1105",1,1105,125,
2131881,6,249232,Suffern,"1107",1,1107,125,
2131868,6,249427,Hoboken,"1110",0,1110,25,
2131876,6,249505,Suffern,"1113",1,1113,125,
2132349,8,249235,Summit,"0734",0,0734,8,
2132353,8,249235,Summit,"0738",0,0738,8,
2131910,6,249508,Suffern,"1115",1,1115,125,
2132358,8,249235,Summit,"0742",0,0742,8,
2134521,8,249240,Gladstone,"0745",1,0745,108,
2131428,7,249232,Hackettstown,"0851",1,0851,107,
2131878,6,249508,Hoboken,"1116",0,1116,25,
2131434,7,249232,Hoboken,"0858",0,0858,7,
2131436,7,249232,Hackettstown,"0877",1,0877,107,
2131341,6,249667,Suffern,"1117",1,1117,125,
2131439,7,249232,Hoboken,"0884",0,0884,7,
2134576,7,249361,Hoboken,"0954",0,0954,7,
2134582,7,249361,Hoboken,"0962",0,0962,7,
2131879,6,249508,Hoboken,"1118",0,1118,25,
2131914,2,249232,Hoboken,"1000",0,1000,2,
2131650,2,249232,Denville,"1003",1,1003,102,
2131328,2,249232,Mount Olive,"1055",1,1055,102,
2131906,6,249666,Hoboken,"1120",0,1120,25,
2133226,2,249232,Hackettstown,"1079",1,1079,102,
2145233,6,249436,Hoboken,"1122",0,1122,25,
2134591,2,249361,Lake Hopatcong,"1091",1,1091,102,
2131900,6,249436,Hoboken,"1124",0,1124,25,
2134577,2,249361,Hoboken,"1094",0,1094,2,
2131891,6,249232,Suffern,"1103",1,1103,125,
2131874,6,249427,Suffern,"1111",1,1111,125,
2131892,6,249733,Suffern,"1125",1,1125,125,
2131901,6,249436,Hoboken,"1126",0,1126,25,
2131893,6,249506,Suffern,"1127",1,1127,125,
2131912,6,249436,Hoboken,"1128",0,1128,25,
2131894,6,249232,Suffern,"1129",1,1129,125,
2131890,6,249733,Hoboken,"1130",0,1130,25,
2131885,6,249232,Suffern,"1131",1,1131,125,
2131880,6,249232,Hoboken,"1132",0,1132,25,
2132700,6,249245,Suffern,"1133",1,1133,125,
2131902,6,249232,Hoboken,"1134",0,1134,25,
2131903,6,249232,Hoboken,"1136",0,1136,25,
2131809,5,249232,Hoboken,"1146",0,1146,5,
2131354,5,249232,Suffern,"1147",1,1147,105,
2131918,5,249232,Hoboken,"1148",0,1148,5,
2131347,5,249232,Hoboken,"1150",0,1150,5,
2131348,5,249232,Hoboken,"1152",0,1152,5,
2131349,5,249232,Hoboken,"1154",0,1154,5,
2131333,5,249508,Suffern,"1155",1,1155,105,
2131350,5,249232,Hoboken,"1156",0,1156,5,
2131342,5,249508,Suffern,"1157",1,1157,105,
2131343,5,249508,Suffern,"1159",1,1159,105,
2131351,5,249232,Hoboken,"1160",0,1160,5,
2131344,5,249506,Suffern,"1161",1,1161,105,
2131443,5,249232,Hoboken,"1162",0,1162,5,
2131722,5,249436,Suffern,"1165",1,1165,105,
2131729,5,249436,Suffern,"1167",1,1167,105,
2131355,5,249508,Hoboken,"1168",0,1168,5,
2131603,5,249733,Suffern,"1169",1,1169,105,
2144943,6,249733,Suffern,"1171",1,1171,125,
2131345,5,249733,Suffern,"1173",1,1173,105,
2131340,5,249667,Hoboken,"1174",0,1174,5,
2131346,5,249436,Suffern,"1175",1,1175,105,
2131444,5,249232,Suffern,"1177",1,1177,105,
2131353,5,249730,Hoboken,"1178",0,1178,5,
2131356,5,249232,Suffern,"1179",1,1179,105,
2131337,5,249232,Hoboken,"1182",0,1182,5,
2132026,5,249232,Suffern,"1183",1,1183,105,
2131357,5,249232,Hoboken,"1184",0,1184,5,
2131358,5,249232,Hoboken,"1186",0,1186,5,
2131899,6,249232,Hoboken,"1202",0,1202,25,
2132017,6,249232,Hoboken,"1204",0,1204,25,
2133875,6,249232,Hoboken,"1206",0,1206,25,
2131886,6,249232,Waldwick,"1207",1,1207,125,
2131904,6,249232,Hoboken,"1208",0,1208,25,
2132024,6,249232,Hoboken,"1210",0,1210,25,
2131905,6,249508,Waldwick,"1211",1,1211,125,
2131889,6,249232,Hoboken,"1212",0,1212,25,
2131897,6,249508,Waldwick,"1213",1,1213,125,
2131895,6,249666,Waldwick,"1215",1,1215,125,
2131907,6,249667,Hoboken,"1220",0,1220,25,
2132019,6,249436,Waldwick,"1221",1,1221,125,
2131239,1,249232,Philadelphia 30th St.,"4632",1,4632,101,
2132673,1,249245,Atlantic City Terminal,"4651",0,4651,1,
2132393,1,250247,Atlantic City Terminal,"4671",0,4671,1,
2131887,6,249733,Waldwick,"1223",1,1223,125,
2132399,1,250247,Philadelphia 30th St.,"4680",1,4680,101,
2131875,6,249505,Hoboken,"1112",0,1112,25,
2132000,10,249683,Long Branch,"3251",1,3251,120,
2132124,10,250363,Long Branch,"3255",1,3255,120,
2131888,6,249733,Waldwick,"1225",1,1225,125,
2131883,6,249232,Hoboken,"1234",0,1234,25,
2141971,5,249283,Waldwick,"1243",1,1243,105,
2137460,10,249682,Penn Station New York,"3260",0,3260,20,
2131335,5,249232,Waldwick,"1247",1,1247,105,
2131336,5,249232,Waldwick,"1249",1,1249,105,
2131338,5,249232,Hoboken,"1252",0,1252,5,
2131339,5,249232,Hoboken,"1254",0,1254,5,
2133838,5,249283,Hoboken,"1258",0,1258,5,
2134088,10,249283,Penn Station New York,"3504",0,3504,20,
2131359,5,249667,Waldwick,"1263",1,1263,105,
2131360,5,249427,Hoboken,"1264",0,1264,5,
2131361,5,249505,Hoboken,"1266",0,1266,5,
2131362,5,249436,Waldwick,"1269",1,1269,105,
2131363,5,249733,Waldwick,"1271",1,1271,105,
2131364,5,249508,Hoboken,"1272",0,1272,5,
2131727,5,249436,Hoboken,"1274",0,1274,5,
2131445,5,249436,Hoboken,"1276",0,1276,5,
2131365,5,249733,Hoboken,"1278",0,1278,5,
2131574,5,249232,Waldwick,"1281",1,1281,105,
2131913,6,249667,Ridgewood,"1319",1,1319,125,
2131317,5,249427,Ridgewood,"1351",1,1351,105,
2131366,5,249505,Ridgewood,"1353",1,1353,105,
2131724,5,249436,Ridgewood,"1357",1,1357,105,
2131446,13,249232,Hoboken,"1602",0,1602,13,
2131447,13,249232,Hoboken,"1604",0,1604,13,
2131666,13,249232,Spring Valley,"1605",1,1605,113,
2131448,13,249232,Hoboken,"1606",0,1606,13,
2131670,13,249232,Spring Valley,"1607",1,1607,113,
2131658,13,249232,Hoboken,"1608",0,1608,13,
2131630,13,249232,Hoboken,"1610",0,1610,13,
2131671,13,249427,Spring Valley,"1611",1,1611,113,
2131654,13,249232,Hoboken,"1612",0,1612,13,
2131689,13,249508,Spring Valley,"1613",1,1613,113,
2132020,13,249232,Hoboken,"1614",0,1614,13,
2132025,13,249232,Hoboken,"1616",0,1616,13,
2131672,13,249508,Spring Valley,"1617",1,1617,113,
2132028,13,249232,Hoboken,"1618",0,1618,13,
2132027,13,249232,Hoboken,"1620",0,1620,13,
2131381,13,249506,Spring Valley,"1621",1,1621,113,
2134087,13,249232,Hoboken,"1622",0,1622,13,
2131379,13,249667,Spring Valley,"1623",1,1623,113,
2131669,13,249505,Hoboken,"1624",0,1624,13,
2131449,13,249436,Spring Valley,"1625",1,1625,113,
2131665,13,249508,Hoboken,"1626",0,1626,13,
2131725,13,249436,Spring Valley,"1627",1,1627,113,
2131673,13,249508,Hoboken,"1628",0,1628,13,
2144942,13,249436,Spring Valley,"1629",1,1629,113,
2131668,13,249666,Hoboken,"1630",0,1630,13,
2131450,13,249436,Spring Valley,"1631",1,1631,113,
2145232,13,249436,Hoboken,"1632",0,1632,13,
2131451,13,249733,Spring Valley,"1633",1,1633,113,
2131452,13,249232,Hoboken,"1634",0,1634,13,
2131911,13,249733,Spring Valley,"1635",1,1635,113,
2131453,13,249232,Hoboken,"1636",0,1636,13,
2131454,13,249733,Spring Valley,"1637",1,1637,113,
2131455,13,249436,Spring Valley,"1641",1,1641,113,
2131456,13,249232,Spring Valley,"1643",1,1643,113,
2145079,13,249436,Spring Valley,"1645",1,1645,113,
2145082,13,249436,Spring Valley,"1647",1,1647,113,
2132022,13,249232,Hoboken,"1650",0,1650,13,
2132021,13,249232,New Bridge Landing,"1651",1,1651,113,
2135165,10,250284,Penn Station New York,"3510",0,3510,20,
2132023,13,249427,Hoboken,"1652",0,1652,13,
2131871,10,249232,Bay Head,"4367",1,4367,110,
2132763,6,250058,"Middletown, NY","0049",1,0049,135,
2131382,13,249506,New Bridge Landing,"1653",1,1653,113,
2132564,6,249235,Suffern,"1701",1,1701,125,
2132569,6,249235,Hoboken,"1704",0,1704,25,
2132570,6,249235,Suffern,"1705",1,1705,125,
2132586,6,249235,Hoboken,"1706",0,1706,25,
2132572,6,249235,Suffern,"1707",1,1707,125,
2132327,8,249235,Summit,"0712",0,0712,8,
2132587,6,250429,Hoboken,"1708",0,1708,25,
2132574,6,249235,Suffern,"1709",1,1709,125,
2132360,8,249235,Summit,"0744",0,0744,8,
2131975,10,249232,Long Branch,"3201",1,3201,120,
2132588,6,250431,Hoboken,"1710",0,1710,25,
2132575,6,249235,Suffern,"1711",1,1711,125,
2137405,10,249683,Penn Station New York,"3248",0,3248,20,
2132589,6,250430,Hoboken,"1712",0,1712,25,
2132576,6,250429,Suffern,"1713",1,1713,125,
2132590,6,249940,Hoboken,"1714",0,1714,25,
2132573,6,250431,Suffern,"1715",1,1715,125,
2132591,6,249940,Hoboken,"1716",0,1716,25,
2132577,6,250430,Suffern,"1717",1,1717,125,
2132592,6,250052,Hoboken,"1718",0,1718,25,
2132578,6,249940,Suffern,"1719",1,1719,125,
2132593,6,250048,Hoboken,"1720",0,1720,25,
2132579,6,249940,Suffern,"1721",1,1721,125,
2132594,6,249904,Hoboken,"1722",0,1722,25,
2132580,6,250052,Suffern,"1723",1,1723,125,
2132595,6,249235,Hoboken,"1724",0,1724,25,
2132581,6,250048,Suffern,"1725",1,1725,125,
2132596,6,249235,Hoboken,"1726",0,1726,25,
2132582,6,249904,Suffern,"1727",1,1727,125,
2132597,6,249235,Hoboken,"1728",0,1728,25,
2132583,6,249235,Suffern,"1729",1,1729,125,
2132598,6,249235,Hoboken,"1730",0,1730,25,
2132584,6,249235,Suffern,"1731",1,1731,125,
2132599,6,249235,Hoboken,"1732",0,1732,25,
2132585,6,249235,Suffern,"1733",1,1733,125,
2132308,5,249235,Hoboken,"1752",0,1752,5,
2132215,5,249235,Hoboken,"1784",0,1784,5,
2132146,5,249240,Hoboken,"1786",0,1786,5,
2132216,5,249904,Suffern,"1787",1,1787,105,
2132563,5,249235,Suffern,"1789",1,1789,105,
2132152,6,249240,Ridgewood,"1801",1,1801,125,
2132566,6,249235,Ridgewood,"1835",1,1835,125,
2132571,6,249235,Ridgewood,"1837",1,1837,125,
2132565,6,249235,Ridgewood,"1839",1,1839,125,
2132217,5,249235,Hoboken,"1854",0,1854,5,
2132218,5,249235,Waldwick,"1855",1,1855,105,
2132231,5,249235,Hoboken,"1856",0,1856,5,
2132219,5,249235,Waldwick,"1857",1,1857,105,
2132246,5,250429,Hoboken,"1858",0,1858,5,
2132220,5,249235,Waldwick,"1859",1,1859,105,
2132232,5,250430,Hoboken,"1862",0,1862,5,
2132221,5,250429,Waldwick,"1863",1,1863,105,
2132233,5,249940,Hoboken,"1866",0,1866,5,
2132222,5,250430,Waldwick,"1867",1,1867,105,
2132234,5,250052,Hoboken,"1868",0,1868,5,
2132223,5,249940,Waldwick,"1869",1,1869,105,
2132235,5,250048,Hoboken,"1870",0,1870,5,
2132224,5,249940,Waldwick,"1871",1,1871,105,
2132236,5,249904,Hoboken,"1872",0,1872,5,
2132225,5,250052,Waldwick,"1873",1,1873,105,
2145086,5,249235,Hoboken,"1874",0,1874,5,
2131997,10,249683,Penn Station New York,"3266",0,3266,20,
2132226,5,250052,Waldwick,"1875",1,1875,105,
2132238,5,249235,Hoboken,"1876",0,1876,5,
2132227,5,250053,Waldwick,"1877",1,1877,105,
2132239,5,249235,Hoboken,"1878",0,1878,5,
2132228,5,250053,Waldwick,"1879",1,1879,105,
2145040,5,249235,Hoboken,"1880",0,1880,5,
2132229,5,250053,Waldwick,"1881",1,1881,105,
2132241,5,249235,Hoboken,"1882",0,1882,5,
2132230,5,250053,Waldwick,"1883",1,1883,105,
2132361,13,249235,Hoboken,"2100",0,2100,13,
2141975,13,249887,Spring Valley,"2101",1,2101,113,
2132362,13,249235,Hoboken,"2102",0,2102,13,
2132363,13,249235,Spring Valley,"2103",1,2103,113,
2132364,13,249235,Hoboken,"2104",0,2104,13,
2132365,13,250429,Hoboken,"2106",0,2106,13,
2132366,13,250429,Spring Valley,"2107",1,2107,113,
2132367,13,250431,Hoboken,"2108",0,2108,13,
2132368,13,250430,Hoboken,"2110",0,2110,13,
2132369,13,250430,Spring Valley,"2111",1,2111,113,
2132370,13,249940,Hoboken,"2112",0,2112,13,
2132371,13,250052,Hoboken,"2114",0,2114,13,
2132372,13,249940,Spring Valley,"2115",1,2115,113,
2132373,13,250052,Spring Valley,"2117",1,2117,113,
2132374,13,249904,Hoboken,"2118",0,2118,13,
2132375,13,250052,Spring Valley,"2119",1,2119,113,
2132376,13,250053,Spring Valley,"2121",1,2121,113,
2132377,13,250053,Hoboken,"2122",0,2122,13,
2132378,13,250053,Spring Valley,"2123",1,2123,113,
2145041,13,249904,Hoboken,"2124",0,2124,13,
2132380,13,249940,Spring Valley,"2125",1,2125,113,
2132381,13,250430,Hoboken,"2126",0,2126,13,
2132382,13,249904,Spring Valley,"2129",1,2129,113,
2132383,13,249235,Spring Valley,"2133",1,2133,113,
2137444,10,250339,South Amboy,"3513",1,3513,120,
2132062,10,249232,Penn Station New York,"3516",0,3516,20,
2131808,9,249232,Penn Station New York,"3702",0,3702,9,
2132137,9,249232,Penn Station New York,"3708",0,3708,9,
2132080,9,249232,Penn Station New York,"3712",0,3712,9,
2137402,9,249285,Penn Station New York,"3716",0,3716,9,
2134119,9,249283,Penn Station New York,"3720",0,3720,9,
2134082,9,249668,Jersey Avenue,"3723",1,3723,109,
2133877,9,249283,Jersey Avenue,"3735",1,3735,109,
2131851,9,249232,Penn Station New York,"3742",0,3742,9,
2132015,9,249232,Trenton Station,"3801",1,3801,109,
2132010,9,249232,Penn Station New York,"3806",0,3806,9,
2131980,9,249232,Trenton Station,"3837",1,3837,109,
2131320,9,249232,Trenton Station,"3841",1,3841,109,
2131467,9,249232,Penn Station New York,"3844",0,3844,9,
2135168,9,249283,Trenton Station,"3847",1,3847,109,
2131644,9,249232,Penn Station New York,"3852",0,3852,9,
